"","Player","Position","Injury","Game Status","Team","Week"
"1506","Joe Staley","T","Not Injury Related","Not Listed","San Francisco 49ers",6
"1507","Budda Baker","S","Shoulder","Not Listed","Arizona Cardinals",6
"1508","Tre Boston","S","Shoulder","Not Listed","Arizona Cardinals",6
"1509","Josh Bynes","LB","Wrist","Not Listed","Arizona Cardinals",6
"1510","Chase Edmonds","RB","Back","Questionable","Arizona Cardinals",6
"1511","Larry Fitzgerald","WR","Hamstring/Back","Not Listed","Arizona Cardinals",6
"1512","Markus Golden","DE","Knee","Questionable","Arizona Cardinals",6
"1513","Jermaine Gresham","TE","Achilles","Not Listed","Arizona Cardinals",6
"1514","D.J. Humphries","OL","Knee","Questionable","Arizona Cardinals",6
"1515","Mike Iupati","OL","Shoulder","Questionable","Arizona Cardinals",6
"1516","Robert Nkemdiche","DT","Foot","Questionable","Arizona Cardinals",6
"1517","Corey Peters","DT","Elbow","Not Listed","Arizona Cardinals",6
"1518","Trent Sherfield","WR","Illness","Not Listed","Arizona Cardinals",6
"1519","Malcom Brown","DL","Knee","Questionable","New England Patriots",7
"1520","Marcus Cannon","OL","Concussion","Out","New England Patriots",7
"1521","Julian Edelman","WR","Heel","Questionable","New England Patriots",7
"1522","Josh Gordon","WR","Hamstring","Questionable","New England Patriots",7
"1523","Rob Gronkowski","TE","Ankle/Back","Questionable","New England Patriots",7
"1524","Jacob Hollister","TE","Hamstring","Questionable","New England Patriots",7
"1525","Sony Michel","RB","Knee","Questionable","New England Patriots",7
"1526","Eric Rowe","DB","Groin","Questionable","New England Patriots",7
"1527","John Simon","DE","Shoulder","Questionable","New England Patriots",7
"1528","Deatrich Wise Jr.","DL","Ankle / Knee","Questionable","New England Patriots",7
"1529","Danny Amendola","WR","Not Injury Related","Not Listed","Miami Dolphins",7
"1530","Andre Branch","DE","Knee","Not Listed","Miami Dolphins",7
"1531","Jesse Davis","OT","Elbow","Not Listed","Miami Dolphins",7
"1532","A.J. Derby","TE","Foot","Not Listed","Miami Dolphins",7
"1533","Frank Gore","RB","Not Injury Related","Not Listed","Miami Dolphins",7
"1534","Jakeem Grant","WR","Shoulder/Hamstring","Not Listed","Miami Dolphins",7
"1535","Charles Harris","DE","Calf","Out","Miami Dolphins",7
"1536","Reshad Jones","FS","Shoulder","Not Listed","Miami Dolphins",7
"1537","Bobby McCain","CB","Knee","Questionable","Miami Dolphins",7
"1538","T.J. McDonald","S","Knee","Questionable","Miami Dolphins",7
"1539","DeVante Parker","WR","Quadricep","Questionable","Miami Dolphins",7
"1540","Ryan Tannehill","QB","Shoulder (right)","Out","Miami Dolphins",7
"1541","Cameron Wake","DE","Knee","Questionable","Miami Dolphins",7
"1542","Jonathan Woodard","DE","Concussion","Out","Miami Dolphins",7
"1543","Lorenzo Alexander","LB","Rest","Not Listed","Buffalo Bills",7
"1544","Josh Allen","QB","Right Elbow","Out","Buffalo Bills",7
"1545","Vladimir Ducasse","G","Knee","Not Listed","Buffalo Bills",7
"1546","Taiwan Jones","RB","Neck","Out","Buffalo Bills",7
"1547","Trent Murphy","DE","Ankle","Not Listed","Buffalo Bills",7
"1548","Kyle Williams","DT","Rest","Not Listed","Buffalo Bills",7
